// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln file. Will use current directory /Users/elliothurdiss/work/code/MemoryManagement to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61
// command took 4.05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61
// command took 6.59s and exited with 0
// ***** Done, took 00:00:10 (10.9 sec)   *****
// Found 3 benchmarks:
//   StackAllocationBenchmarks.Heap: DefaultJob
//   StackAllocationBenchmarks.Stack: DefaultJob
//   StackAllocationBenchmarks.StackSpan: DefaultJob

// **************************
// Benchmark: StackAllocationBenchmarks.Heap: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2d075a69-b784-4dc2-a55d-2178f660af61.dll" --benchmarkName "StackAllocationBenchmarks.Heap" --job "Default" --benchmarkId 0 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual   2: 524288 op, 1546705.00 ns, 2.9501 ns/op
OverheadActual   3: 524288 op, 1720581.00 ns, 3.2817 ns/op
OverheadActual   4: 524288 op, 1241598.00 ns, 2.3682 ns/op
OverheadActual   5: 524288 op, 1524662.00 ns, 2.9081 ns/op
OverheadActual   6: 524288 op, 1480980.00 ns, 2.8247 ns/op
OverheadActual   7: 524288 op, 1496992.00 ns, 2.8553 ns/op
OverheadActual   8: 524288 op, 1551422.00 ns, 2.9591 ns/op
OverheadActual   9: 524288 op, 1311417.00 ns, 2.5013 ns/op
OverheadActual  10: 524288 op, 1751996.00 ns, 3.3417 ns/op
OverheadActual  11: 524288 op, 1337190.00 ns, 2.5505 ns/op
OverheadActual  12: 524288 op, 1452660.00 ns, 2.7707 ns/op
OverheadActual  13: 524288 op, 1409594.00 ns, 2.6886 ns/op
OverheadActual  14: 524288 op, 1272430.00 ns, 2.4270 ns/op
OverheadActual  15: 524288 op, 1335865.00 ns, 2.5480 ns/op
OverheadActual  16: 524288 op, 1457875.00 ns, 2.7807 ns/op
OverheadActual  17: 524288 op, 1324129.00 ns, 2.5256 ns/op
OverheadActual  18: 524288 op, 1413562.00 ns, 2.6962 ns/op
OverheadActual  19: 524288 op, 1357759.00 ns, 2.5897 ns/op
OverheadActual  20: 524288 op, 1270529.00 ns, 2.4233 ns/op

WorkloadWarmup   1: 524288 op, 538761594.00 ns, 1.0276 us/op
WorkloadWarmup   2: 524288 op, 521055830.00 ns, 993.8351 ns/op
WorkloadWarmup   3: 524288 op, 523463413.00 ns, 998.4272 ns/op
WorkloadWarmup   4: 524288 op, 519402715.00 ns, 990.6821 ns/op
WorkloadWarmup   5: 524288 op, 520516060.00 ns, 992.8056 ns/op
WorkloadWarmup   6: 524288 op, 520676047.00 ns, 993.1107 ns/op
WorkloadWarmup   7: 524288 op, 522694233.00 ns, 996.9601 ns/op
WorkloadWarmup   8: 524288 op, 559127724.00 ns, 1.0665 us/op
WorkloadWarmup   9: 524288 op, 525640118.00 ns, 1.0026 us/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 521687822.00 ns, 995.0406 ns/op
WorkloadActual   2: 524288 op, 532634320.00 ns, 1.0159 us/op
WorkloadActual   3: 524288 op, 554909470.00 ns, 1.0584 us/op
WorkloadActual   4: 524288 op, 524322492.00 ns, 1.0001 us/op
WorkloadActual   5: 524288 op, 536248146.00 ns, 1.0228 us/op
WorkloadActual   6: 524288 op, 523801686.00 ns, 999.0724 ns/op
WorkloadActual   7: 524288 op, 518727044.00 ns, 989.3933 ns/op
WorkloadActual   8: 524288 op, 522296792.00 ns, 996.2021 ns/op
WorkloadActual   9: 524288 op, 522277736.00 ns, 996.1657 ns/op
WorkloadActual  10: 524288 op, 523119727.00 ns, 997.7717 ns/op
WorkloadActual  11: 524288 op, 519923070.00 ns, 991.6746 ns/op
WorkloadActual  12: 524288 op, 523596200.00 ns, 998.6805 ns/op
WorkloadActual  13: 524288 op, 520733171.00 ns, 993.2197 ns/op
WorkloadActual  14: 524288 op, 521835679.00 ns, 995.3226 ns/op
WorkloadActual  15: 524288 op, 522626745.00 ns, 996.8314 ns/op

// AfterActualRun
WorkloadResult   1: 524288 op, 520271664.50 ns, 992.3394 ns/op
WorkloadResult   2: 524288 op, 522906334.50 ns, 997.3647 ns/op
WorkloadResult   3: 524288 op, 522385528.50 ns, 996.3713 ns/op
WorkloadResult   4: 524288 op, 517310886.50 ns, 986.6922 ns/op
WorkloadResult   5: 524288 op, 520880634.50 ns, 993.5010 ns/op
WorkloadResult   6: 524288 op, 520861578.50 ns, 993.4646 ns/op
WorkloadResult   7: 524288 op, 521703569.50 ns, 995.0706 ns/op
WorkloadResult   8: 524288 op, 518506912.50 ns, 988.9735 ns/op
WorkloadResult   9: 524288 op, 522180042.50 ns, 995.9794 ns/op
WorkloadResult  10: 524288 op, 519317013.50 ns, 990.5186 ns/op
WorkloadResult  11: 524288 op, 520419521.50 ns, 992.6215 ns/op
WorkloadResult  12: 524288 op, 521210587.50 ns, 994.1303 ns/op
GC:  1340 0 0 2109734912 524288

// AfterAll

Mean = 993.0856 ns, StdErr = 0.9044 ns (0.09%); N = 12, StdDev = 3.1330 ns
Min = 986.6922 ns, Q1 = 991.4290 ns, Median = 993.4828 ns, Q3 = 995.5250 ns, Max = 997.3647 ns
IQR = 4.0960 ns, LowerFence = 985.2851 ns, UpperFence = 1,001.6689 ns
ConfidenceInterval = [989.0726 ns; 997.0985 ns] (CI 99.9%), Margin = 4.0129 ns (0.40% of Mean)
Skewness = -0.55, Kurtosis = 2.2, MValue = 2

// **************************
// Benchmark: StackAllocationBenchmarks.Stack: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2d075a69-b784-4dc2-a55d-2178f660af61.dll" --benchmarkName "StackAllocationBenchmarks.Stack" --job "Default" --benchmarkId 1 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 464524.00 ns, 464.5240 us/op
WorkloadJitting  1: 1 op, 958658.00 ns, 958.6580 us/op

OverheadJitting  2: 16 op, 525109.00 ns, 32.8193 us/op
WorkloadJitting  2: 16 op, 1282066.00 ns, 80.1291 us/op

WorkloadPilot    1: 16 op, 17550.00 ns, 1.0969 us/op
WorkloadPilot    2: 32 op, 30806.00 ns, 962.6875 ns/op
WorkloadPilot    3: 64 op, 58294.00 ns, 910.8438 ns/op
WorkloadPilot    4: 128 op, 116504.00 ns, 910.1875 ns/op
WorkloadPilot    5: 256 op, 308619.00 ns, 1.2055 us/op
WorkloadPilot    6: 512 op, 459957.00 ns, 898.3535 ns/op
WorkloadPilot    7: 1024 op, 949545.00 ns, 927.2900 ns/op
WorkloadPilot    8: 2048 op, 2107458.00 ns, 1.0290 us/op
WorkloadPilot    9: 4096 op, 3510050.00 ns, 856.9458 ns/op
WorkloadPilot   10: 8192 op, 8661202.00 ns, 1.0573 us/op
WorkloadPilot   11: 16384 op, 15767471.00 ns, 962.3701 ns/op
WorkloadPilot   12: 32768 op, 30529246.00 ns, 931.6786 ns/op
WorkloadPilot   13: 65536 op, 58139480.00 ns, 887.1381 ns/op
WorkloadPilot   14: 131072 op, 112529519.00 ns, 858.5321 ns/op
WorkloadPilot   15: 262144 op, 224139800.00 ns, 855.0255 ns/op
WorkloadPilot   16: 524288 op, 446157753.00 ns, 850.9784 ns/op
WorkloadPilot   17: 1048576 op, 892907102.00 ns, 851.5426 ns/op

OverheadWarmup   1: 1048576 op, 3258214.00 ns, 3.1073 ns/op
OverheadWarmup   2: 1048576 op, 3368123.00 ns, 3.2121 ns/op
OverheadWarmup   3: 1048576 op, 3254478.00 ns, 3.1037 ns/op
OverheadWarmup   4: 1048576 op, 7910696.00 ns, 7.5442 ns/op
OverheadWarmup   5: 1048576 op, 5973737.00 ns, 5.6970 ns/op

OverheadActual   1: 1048576 op, 4948461.00 ns, 4.7192 ns/op
OverheadActual   2: 1048576 op, 2950609.00 ns, 2.8139 ns/op
OverheadActual   3: 1048576 op, 2654904.00 ns, 2.5319 ns/op
OverheadActual   4: 1048576 op, 2862132.00 ns, 2.7295 ns/op
OverheadActual   5: 1048576 op, 2662450.00 ns, 2.5391 ns/op
OverheadActual   6: 1048576 op, 3163522.00 ns, 3.0170 ns/op
OverheadActual   7: 1048576 op, 2894604.00 ns, 2.7605 ns/op
OverheadActual   8: 1048576 op, 2956288.00 ns, 2.8193 ns/op
OverheadActual   9: 1048576 op, 2599827.00 ns, 2.4794 ns/op
OverheadActual  10: 1048576 op, 2936593.00 ns, 2.8006 ns/op
OverheadActual  11: 1048576 op, 2733092.00 ns, 2.6065 ns/op
OverheadActual  12: 1048576 op, 2757808.00 ns, 2.6301 ns/op
OverheadActual  13: 1048576 op, 2585063.00 ns, 2.4653 ns/op
OverheadActual  14: 1048576 op, 2812406.00 ns, 2.6821 ns/op
OverheadActual  15: 1048576 op, 3162368.00 ns, 3.0159 ns/op
OverheadActual  16: 1048576 op, 2716746.00 ns, 2.5909 ns/op
OverheadActual  17: 1048576 op, 2572278.00 ns, 2.4531 ns/op
OverheadActual  18: 1048576 op, 2661946.00 ns, 2.5386 ns/op
OverheadActual  19: 1048576 op, 2926597.00 ns, 2.7910 ns/op
OverheadActual  20: 1048576 op, 2474056.00 ns, 2.3594 ns/op

WorkloadWarmup   1: 1048576 op, 889928134.00 ns, 848.7016 ns/op
WorkloadWarmup   2: 1048576 op, 887419489.00 ns, 846.3092 ns/op
WorkloadWarmup   3: 1048576 op, 885146838.00 ns, 844.1418 ns/op
WorkloadWarmup   4: 1048576 op, 885886335.00 ns, 844.8470 ns/op
WorkloadWarmup   5: 1048576 op, 890918427.00 ns, 849.6460 ns/op
WorkloadWarmup   6: 1048576 op, 894735289.00 ns, 853.2861 ns/op
WorkloadWarmup   7: 1048576 op, 885574577.00 ns, 844.5497 ns/op
WorkloadWarmup   8: 1048576 op, 886215017.00 ns, 845.1605 ns/op
WorkloadWarmup   9: 1048576 op, 884941158.00 ns, 843.9457 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 884872170.00 ns, 843.8799 ns/op
WorkloadActual   2: 1048576 op, 884508496.00 ns, 843.5330 ns/op
WorkloadActual   3: 1048576 op, 917299944.00 ns, 874.8054 ns/op
WorkloadActual   4: 1048576 op, 899423072.00 ns, 857.7567 ns/op
WorkloadActual   5: 1048576 op, 887354583.00 ns, 846.2473 ns/op
WorkloadActual   6: 1048576 op, 886084282.00 ns, 845.0358 ns/op
WorkloadActual   7: 1048576 op, 883820521.00 ns, 842.8769 ns/op
WorkloadActual   8: 1048576 op, 885952060.00 ns, 844.9097 ns/op
WorkloadActual   9: 1048576 op, 886530890.00 ns, 845.4617 ns/op
WorkloadActual  10: 1048576 op, 890389029.00 ns, 849.1411 ns/op
WorkloadActual  11: 1048576 op, 883945661.00 ns, 842.9963 ns/op
WorkloadActual  12: 1048576 op, 885540994.00 ns, 844.5177 ns/op
WorkloadActual  13: 1048576 op, 887529755.00 ns, 846.4143 ns/op
WorkloadActual  14: 1048576 op, 889139698.00 ns, 847.9497 ns/op
WorkloadActual  15: 1048576 op, 885101326.00 ns, 844.0984 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 882087063.00 ns, 841.2238 ns/op
WorkloadResult   2: 1048576 op, 881723389.00 ns, 840.8770 ns/op
WorkloadResult   3: 1048576 op, 884569476.00 ns, 843.5912 ns/op
WorkloadResult   4: 1048576 op, 883299175.00 ns, 842.3797 ns/op
WorkloadResult   5: 1048576 op, 881035414.00 ns, 840.2208 ns/op
WorkloadResult   6: 1048576 op, 883166953.00 ns, 842.2536 ns/op
WorkloadResult   7: 1048576 op, 883745783.00 ns, 842.8057 ns/op
WorkloadResult   8: 1048576 op, 887603922.00 ns, 846.4851 ns/op
WorkloadResult   9: 1048576 op, 881160554.00 ns, 840.3402 ns/op
WorkloadResult  10: 1048576 op, 882755887.00 ns, 841.8616 ns/op
WorkloadResult  11: 1048576 op, 884744648.00 ns, 843.7582 ns/op
WorkloadResult  12: 1048576 op, 886354591.00 ns, 845.2936 ns/op
WorkloadResult  13: 1048576 op, 882316219.00 ns, 841.4423 ns/op
GC:  0 0 0 0 1048576

// AfterAll

Mean = 842.5025 ns, StdErr = 0.5206 ns (0.06%); N = 13, StdDev = 1.8770 ns
Min = 840.2208 ns, Q1 = 841.0504 ns, Median = 842.2536 ns, Q3 = 843.6747 ns, Max = 846.4851 ns
IQR = 2.6244 ns, LowerFence = 837.1138 ns, UpperFence = 847.6113 ns
ConfidenceInterval = [840.2548 ns; 844.7503 ns] (CI 99.9%), Margin = 2.2477 ns (0.27% of Mean)
Skewness = 0.68, Kurtosis = 2.33, MValue = 2

// **************************
// Benchmark: StackAllocationBenchmarks.StackSpan: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2d075a69-b784-4dc2-a55d-2178f660af61.dll" --benchmarkName "StackAllocationBenchmarks.StackSpan" --job "Default" --benchmarkId 2 in /Users/elliothurdiss/work/code/MemoryManagement/bin/RELEASE/netcoreapp2.2/2d075a69-b784-4dc2-a55d-2178f660af61/bin/Release/netcoreapp2.2
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 460988.00 ns, 460.9880 us/op
WorkloadJitting  1: 1 op, 1272894.00 ns, 1.2729 ms/op

OverheadJitting  2: 16 op, 802804.00 ns, 50.1753 us/op
WorkloadJitting  2: 16 op, 864037.00 ns, 54.0023 us/op

WorkloadPilot    1: 16 op, 16560.00 ns, 1.0350 us/op
WorkloadPilot    2: 32 op, 26951.00 ns, 842.2188 ns/op
WorkloadPilot    3: 64 op, 55692.00 ns, 870.1875 ns/op
WorkloadPilot    4: 128 op, 138328.00 ns, 1.0807 us/op
WorkloadPilot    5: 256 op, 212045.00 ns, 828.3008 ns/op
WorkloadPilot    6: 512 op, 424549.00 ns, 829.1973 ns/op
WorkloadPilot    7: 1024 op, 983181.00 ns, 960.1377 ns/op
WorkloadPilot    8: 2048 op, 1750081.00 ns, 854.5317 ns/op
WorkloadPilot    9: 4096 op, 3686917.00 ns, 900.1262 ns/op
WorkloadPilot   10: 8192 op, 7518394.00 ns, 917.7727 ns/op
WorkloadPilot   11: 16384 op, 14881161.00 ns, 908.2740 ns/op
WorkloadPilot   12: 32768 op, 29025405.00 ns, 885.7851 ns/op
WorkloadPilot   13: 65536 op, 52747310.00 ns, 804.8601 ns/op
WorkloadPilot   14: 131072 op, 105097590.00 ns, 801.8310 ns/op
WorkloadPilot   15: 262144 op, 204599709.00 ns, 780.4860 ns/op
WorkloadPilot   16: 524288 op, 411335998.00 ns, 784.5612 ns/op
WorkloadPilot   17: 1048576 op, 813774049.00 ns, 776.0754 ns/op

OverheadWarmup   1: 1048576 op, 3142020.00 ns, 2.9965 ns/op
OverheadWarmup   2: 1048576 op, 2451576.00 ns, 2.3380 ns/op
OverheadWarmup   3: 1048576 op, 2454936.00 ns, 2.3412 ns/op
OverheadWarmup   4: 1048576 op, 2384954.00 ns, 2.2745 ns/op
OverheadWarmup   5: 1048576 op, 2594705.00 ns, 2.4745 ns/op
OverheadWarmup   6: 1048576 op, 2634713.00 ns, 2.5127 ns/op
OverheadWarmup   7: 1048576 op, 3222001.00 ns, 3.0727 ns/op
OverheadWarmup   8: 1048576 op, 2665308.00 ns, 2.5418 ns/op

OverheadActual   1: 1048576 op, 2575891.00 ns, 2.4566 ns/op
OverheadActual   2: 1048576 op, 2401314.00 ns, 2.2901 ns/op
OverheadActual   3: 1048576 op, 2541362.00 ns, 2.4236 ns/op
OverheadActual   4: 1048576 op, 2885442.00 ns, 2.7518 ns/op
OverheadActual   5: 1048576 op, 2886601.00 ns, 2.7529 ns/op
OverheadActual   6: 1048576 op, 2733075.00 ns, 2.6065 ns/op
OverheadActual   7: 1048576 op, 2634335.00 ns, 2.5123 ns/op
OverheadActual   8: 1048576 op, 2742330.00 ns, 2.6153 ns/op
OverheadActual   9: 1048576 op, 2521625.00 ns, 2.4048 ns/op
OverheadActual  10: 1048576 op, 2871144.00 ns, 2.7381 ns/op
OverheadActual  11: 1048576 op, 2897537.00 ns, 2.7633 ns/op
OverheadActual  12: 1048576 op, 2740249.00 ns, 2.6133 ns/op
OverheadActual  13: 1048576 op, 2427376.00 ns, 2.3149 ns/op
OverheadActual  14: 1048576 op, 2980518.00 ns, 2.8424 ns/op
OverheadActual  15: 1048576 op, 2664054.00 ns, 2.5406 ns/op
OverheadActual  16: 1048576 op, 2804557.00 ns, 2.6746 ns/op
OverheadActual  17: 1048576 op, 2406135.00 ns, 2.2947 ns/op
OverheadActual  18: 1048576 op, 2726075.00 ns, 2.5998 ns/op
OverheadActual  19: 1048576 op, 2905435.00 ns, 2.7708 ns/op
OverheadActual  20: 1048576 op, 2790625.00 ns, 2.6613 ns/op

WorkloadWarmup   1: 1048576 op, 813393604.00 ns, 775.7126 ns/op
WorkloadWarmup   2: 1048576 op, 811778972.00 ns, 774.1728 ns/op
WorkloadWarmup   3: 1048576 op, 814635584.00 ns, 776.8970 ns/op
WorkloadWarmup   4: 1048576 op, 811781479.00 ns, 774.1751 ns/op
WorkloadWarmup   5: 1048576 op, 826085528.00 ns, 787.8166 ns/op
WorkloadWarmup   6: 1048576 op, 817061132.00 ns, 779.2102 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 838715249.00 ns, 799.8612 ns/op
WorkloadActual   2: 1048576 op, 850522721.00 ns, 811.1217 ns/op
WorkloadActual   3: 1048576 op, 817200139.00 ns, 779.3428 ns/op
WorkloadActual   4: 1048576 op, 815581068.00 ns, 777.7987 ns/op
WorkloadActual   5: 1048576 op, 816353348.00 ns, 778.5352 ns/op
WorkloadActual   6: 1048576 op, 814615415.00 ns, 776.8778 ns/op
WorkloadActual   7: 1048576 op, 814109069.00 ns, 776.3949 ns/op
WorkloadActual   8: 1048576 op, 821613725.00 ns, 783.5519 ns/op
WorkloadActual   9: 1048576 op, 838333448.00 ns, 799.4971 ns/op
WorkloadActual  10: 1048576 op, 813811572.00 ns, 776.1112 ns/op
WorkloadActual  11: 1048576 op, 819531251.00 ns, 781.5659 ns/op
WorkloadActual  12: 1048576 op, 850164380.00 ns, 810.7799 ns/op
WorkloadActual  13: 1048576 op, 838228985.00 ns, 799.3975 ns/op
WorkloadActual  14: 1048576 op, 816317925.00 ns, 778.5014 ns/op
WorkloadActual  15: 1048576 op, 815183760.00 ns, 777.4198 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 835978587.00 ns, 797.2513 ns/op
WorkloadResult   2: 1048576 op, 847786059.00 ns, 808.5118 ns/op
WorkloadResult   3: 1048576 op, 814463477.00 ns, 776.7329 ns/op
WorkloadResult   4: 1048576 op, 812844406.00 ns, 775.1888 ns/op
WorkloadResult   5: 1048576 op, 813616686.00 ns, 775.9253 ns/op
WorkloadResult   6: 1048576 op, 811878753.00 ns, 774.2679 ns/op
WorkloadResult   7: 1048576 op, 811372407.00 ns, 773.7850 ns/op
WorkloadResult   8: 1048576 op, 818877063.00 ns, 780.9420 ns/op
WorkloadResult   9: 1048576 op, 835596786.00 ns, 796.8872 ns/op
WorkloadResult  10: 1048576 op, 811074910.00 ns, 773.5013 ns/op
WorkloadResult  11: 1048576 op, 816794589.00 ns, 778.9560 ns/op
WorkloadResult  12: 1048576 op, 847427718.00 ns, 808.1700 ns/op
WorkloadResult  13: 1048576 op, 835492323.00 ns, 796.7876 ns/op
WorkloadResult  14: 1048576 op, 813581263.00 ns, 775.8916 ns/op
WorkloadResult  15: 1048576 op, 812447098.00 ns, 774.8099 ns/op
GC:  0 0 0 0 1048576

// AfterAll

Mean = 784.5073 ns, StdErr = 3.3639 ns (0.43%); N = 15, StdDev = 13.0282 ns
Min = 773.5013 ns, Q1 = 774.8099 ns, Median = 776.7329 ns, Q3 = 796.8872 ns, Max = 808.5118 ns
IQR = 22.0773 ns, LowerFence = 741.6940 ns, UpperFence = 830.0031 ns
ConfidenceInterval = [770.5793 ns; 798.4352 ns] (CI 99.9%), Margin = 13.9280 ns (1.78% of Mean)
Skewness = 0.77, Kurtosis = 1.83, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/StackAllocationBenchmarks-report.csv
  BenchmarkDotNet.Artifacts/results/StackAllocationBenchmarks-report-github.md
  BenchmarkDotNet.Artifacts/results/StackAllocationBenchmarks-report.html

// * Detailed results *
StackAllocationBenchmarks.Heap: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 993.0856 ns, StdErr = 0.9044 ns (0.09%); N = 12, StdDev = 3.1330 ns
Min = 986.6922 ns, Q1 = 991.4290 ns, Median = 993.4828 ns, Q3 = 995.5250 ns, Max = 997.3647 ns
IQR = 4.0960 ns, LowerFence = 985.2851 ns, UpperFence = 1,001.6689 ns
ConfidenceInterval = [989.0726 ns; 997.0985 ns] (CI 99.9%), Margin = 4.0129 ns (0.40% of Mean)
Skewness = -0.55, Kurtosis = 2.2, MValue = 2
-------------------- Histogram --------------------
[985.495 ns ; 998.562 ns) | @@@@@@@@@@@@
---------------------------------------------------

StackAllocationBenchmarks.Stack: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 842.5025 ns, StdErr = 0.5206 ns (0.06%); N = 13, StdDev = 1.8770 ns
Min = 840.2208 ns, Q1 = 841.0504 ns, Median = 842.2536 ns, Q3 = 843.6747 ns, Max = 846.4851 ns
IQR = 2.6244 ns, LowerFence = 837.1138 ns, UpperFence = 847.6113 ns
ConfidenceInterval = [840.2548 ns; 844.7503 ns] (CI 99.9%), Margin = 2.2477 ns (0.27% of Mean)
Skewness = 0.68, Kurtosis = 2.33, MValue = 2
-------------------- Histogram --------------------
[839.522 ns ; 847.184 ns) | @@@@@@@@@@@@@
---------------------------------------------------

StackAllocationBenchmarks.StackSpan: DefaultJob
Runtime = .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 784.5073 ns, StdErr = 3.3639 ns (0.43%); N = 15, StdDev = 13.0282 ns
Min = 773.5013 ns, Q1 = 774.8099 ns, Median = 776.7329 ns, Q3 = 796.8872 ns, Max = 808.5118 ns
